Strategy,Total Return (%),Annual Return (%),Sharpe Ratio,Max Drawdown (%),Final Capital (CNY),Num Trades,Initial Capital (CNY)
TopK-K3-1d,173.63,68.89,0.10,-74.91,273631,2546,100000
TopK-K10-1d,121.96,51.46,0.14,-54.79,221958,7794,100000
TopK-K3-3d,257.27,94.05,0.11,-79.86,357268,2589,100000
TopK-K10-3d,194.56,75.50,0.23,-53.83,294561,8360,100000
TopK-K3-5d,362.17,121.89,0.17,-78.06,462166,2649,100000
TopK-K10-5d,245.44,90.68,0.30,-64.09,345439,8708,100000
TopK-K3-7d,145.16,59.51,0.08,-80.34,245164,2718,100000
TopK-K10-7d,161.52,64.96,0.17,-72.04,261518,8556,100000
TopK-K3-14d,357.02,120.60,0.25,-66.09,457017,2667,100000
TopK-K10-14d,248.76,91.63,0.31,-57.23,348763,8448,100000
TopK-K3-20d,183.10,71.91,0.13,-74.96,283103,2700,100000
TopK-K10-20d,216.04,82.05,0.26,-63.37,316038,8287,100000
StopLoss-3pct-1d,171.82,68.31,0.19,-53.57,271816,12287,100000
StopLoss-8pct-1d,95.22,-69.76,-0.02,-235.84,195219,63069,100000
StopLoss-3pct-5d,783.30,210.89,0.63,-57.29,883296,11531,100000
StopLoss-8pct-5d,1958.01,N/A,N/A,-2695.29,2058007,69367,100000
StopLoss-3pct-14d,705.46,196.31,0.79,-57.66,805464,10247,100000
StopLoss-8pct-14d,410.94,41.91,0.00,-412.92,510944,52487,100000
Momentum-LB5-1d,156.10,63.23,0.13,-66.95,256096,4172,100000
Momentum-LB10-5d,360.27,121.41,0.30,-71.48,460271,4449,100000
Momentum-LB20-14d,404.51,132.25,0.36,-59.14,504512,4430,100000
RiskParity-VL10-1d,101.49,44.02,0.07,-71.12,201490,4155,100000
RiskParity-VL20-5d,242.05,89.70,0.21,-72.17,342048,4364,100000
RiskParity-VL30-14d,250.58,92.22,0.26,-60.78,350579,4317,100000
Confidence-MC5bp-1d,154.31,62.63,0.13,-67.21,254314,4163,100000
Confidence-MC10bp-5d,363.58,122.22,0.30,-71.24,463579,4446,100000
Confidence-MC20bp-14d,394.77,129.90,0.36,-59.04,494768,4434,100000
Threshold-0pct-1d,138.92,57.44,0.14,-69.28,238920,4301,100000
Threshold-1pct-5d,353.99,119.84,0.28,-73.30,453994,4461,100000
Threshold-2pct-14d,459.60,145.13,0.42,-60.84,559602,4464,100000
